ECG,ECG_Filtered
144.184,-0.05418
155.425,-0.04639
173.998,0.00495
179.863,-0.02752
165.689,-0.03194
138.807,0.03321
137.341,0.17684
144.184,0.08742
163.245,-0.01084
166.178,-0.15110
166.667,-0.09829
174.487,0.00963
178.886,0.01994
187.195,0.03942
184.751,-0.00890
187.683,0.03030
192.082,0.02372
194.526,-0.00540
199.902,-0.00310
214.565,0.01394
241.447,0.01262
248.778,-0.09812
269.795,0.00780
282.991,-0.00697
269.306,-0.05977
254.643,0.04861
254.643,0.13140
238.514,0.00050
386.119,0.45007
238.025,-100.337
277.615,0.37177
234.604,0.02681
0.51320,-0.33044
0.00489,0.59083
0.00000,0.42218
0.00000,-0.13517
0.00000,-0.36637
0.00000,-0.29906
0.00000,-0.11906
0.00000,0.03695
0.00000,0.11583
0.00000,0.12271
0.00000,0.08729
0.00000,0.04005
0.00000,0.00112
0.00000,-0.02136
0.03421,-0.01839
402.737,109.487
499.022,-124.628
500.000,-100.520
500.000,0.13561
499.511,0.66771
500.000,0.60141
499.511,0.27129
500.000,-0.02824
500.000,-0.19889
500.000,-0.22791
500.000,-0.17039
500.000,-0.08454
500.000,-0.01031
499.511,0.03342
446.237,-0.09869
260.997,-0.27898
177.419,0.57389
198.436,0.64608
216.520,-0.10527
286.901,-0.30339
401.760,-0.31352
470.674,-0.46988
457.478,-0.35995
390.029,0.08522
341.153,0.57810
315.249,0.56037
297.654,0.20283
251.711,-0.20590
217.498,-0.19497
202.346,-0.11073
234.604,0.00988
335.288,0.05880
395.894,-0.32457
391.496,-0.37882
389.052,0.08311
359.238,0.22958
347.996,0.35533
420.821,0.42627
497.556,-0.06484
500.000,-0.53233
492.180,-0.25039
283.969,-0.50203
150.049,0.57162
326.002,145.617
358.260,-0.46491
490.714,-0.45566
499.511,-0.87485
499.022,-0.24017
493.157,0.26817
499.511,0.45933
500.000,0.28910
499.511,0.09599
426.686,-0.24415
194.526,-0.48718
0.24927,0.40056
0.04399,0.82207
0.71359,0.22612
238.514,-0.29847
431.085,-0.73101
497.556,-103.449
498.534,-0.33370
474.096,0.45621
447.214,0.77822
390.518,0.52091
337.243,0.27228
318.182,0.08746
360.215,-0.05616
445.748,-0.27414
497.556,-0.56285
497.067,-0.47010
455.034,-0.08839
368.524,0.20924
394.428,0.76873
263.441,-0.17963
203.812,0.19902
204.301,0.23087
180.352,-0.22709
183.284,-0.21469
180.352,-0.22005
169.110,-0.12742
0.76246,-0.20618
0.01466,0.23479
0.00000,0.51312
0.00000,0.11731
0.00000,-0.16129
0.00000,-0.21189
0.00000,-0.13359
0.00000,-0.03106
0.00000,0.03943
0.00000,0.06523
0.00000,0.05759
0.21505,0.09538
410.557,103.253
498.534,-125.133
499.511,-0.95190
500.000,0.15539
500.000,0.65212
500.000,0.57069
500.000,0.25218
500.000,-0.04047
500.000,-0.19783
478.006,-0.28419
184.751,-0.91263
0.05376,0.54739
0.00000,110.579
0.00000,0.09889
0.00000,-0.53234
0.00000,-0.56478
0.00000,-0.29465
0.00000,-0.00293
0.00000,0.17349
0.00000,0.21743
0.00000,0.17189
0.00000,0.09177
0.00000,0.01804
0.19062,0.02461
294.721,0.66176
494.135,-0.54508
500.000,-119.302
499.511,-0.13205
500.000,0.56642
500.000,0.62154
461.388,0.23714
304.008,-0.26561
211.144,0.22784
239.492,0.43361
255.621,-0.26471
270.772,-0.51070
302.053,-0.33047
307.429,-0.20871
260.997,-0.08044
269.306,0.41541
