conductance
3.2
2.81
2.71
2.61
2.71
2.81
2.71
2.9
2.71
2.81
2.71
2.71
2.81
2.81
2.71
2.81
2.71
2.81
2.81
2.81
2.81
2.71
2.71
2.71
2.71
2.61
2.81
2.71
2.81
2.9
2.71
2.71
2.71
2.81
2.71
2.71
2.81
2.71
2.81
2.71
3.1
2.81
2.71
2.71
2.71
2.81
2.61
2.71
2.71
2.41
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.81
2.71
2.71
2.71
2.71
2.71
2.71
2.81
2.71
2.81
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.9
2.81
2.71
2.71
3.2
2.71
2.71
2.71
2.81
2.71
2.41
2.9
2.71
2.71
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.81
2.61
2.71
2.71
2.71
2.71
2.71
2.71
2.61
2.71
2.71
2.9
2.71
2.61
2.71
2.71
3.2
2.9
2.61
2.71
2.71
2.71
2.71
2.81
2.71
2.61
2.71
2.71
2.71
2.71
2.81
2.71
2.71
2.71
2.9
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71

2.71
2.71
2.61
2.61
2.71
2.71
3
2.81
2.71
2.71
2.71
2.71
2.71
3
2.71
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.61
2.71
2.81
2.61
2.71
2.71
2.71
2.71
2.71
2.71
2.81
2.71
2.61
2.61
2.61
2.81
2.61
2.71
2.61
2.71
2.61
2.71
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.81
2.71
2.71
2.71
2.61
2.61
2.71
2.71
2.71
2.71
2.71
2.41
2.61
2.61
2.61
2.61
2.71
2.61
3
2.61
2.51
2.51
2.51
2.51
2.61
2.51
2.61
2.71
2.61
2.71
2.61
2.71
3
2.81
2.71
2.71
2.71
2.71
2.61
2.61
3.2
2.71
2.61
2.71
2.71
2.71
2.71
2.61
2.71
2.71
2.71
2.61
2.71
2.71
2.71
2.81
2.61
2.71
2.71
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.71
3.2
2.71
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.81
2.61
2.71
2.71
2.61
2.61
2.71
2.71
2.71
2.71
3
2.61
2.71
2.81
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.61
2.71
2.71
2.71
2.61
2.81
2.71
2.71
2.71
2.61
2.71
2.71
2.81
2.71
2.71
2.71
2.61
2.71
2.71
3.1
2.71
2.41
2.71
2.71
2.71
2.81
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
3
2.71
2.71
2.71
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
3
2.71
2.71
2.81
2.81
2.81
2.81
2.9
2.71
2.81
2.81
2.81
2.71
2.81
2.9
2.9
2.81
2.81
2.71
2.81
2.81
2.9
2.9
2.81
2.9
2.9
2.9
2.9
2.9
2.9
2.9
3
3
2.9
2.71
2.61
2.51
2.51
2.51
2.41
2.41
2.41
2.41
2.51
2.51
2.51
2.61
3.1
2.61
2.71
3.1
2.81
2.81
2.81
2.81
2.9
2.9
2.81
2.9
2.9
2.81
2.9
2.9
2.9
2.81
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.81
2.9
3
2.81
2.9
2.9
2.9
3
3.2
3
3.1
3
3
2.9
3.1
3
3
3.1
3
3
3.49
3
3
3
3
3
3
3
3
3
3.1
3
3
3
3
3
3
3.29
3
3
3.29
3
3
3
3.1
3
3
3
3.1
3
3
3.39
2.9
3
3
3
3
3
3
3
3
3
2.81
3
2.9
3
3
3
3
3
2.9
2.9
2.9
2.9
3.1
3
3
3
3
3
2.9
3
3
2.9
3
3
3.2
3
2.81
3
2.9
3
2.9
2.9
3
2.9
3
3
2.9
2.9
3
2.9
3
3.2
2.9
3
2.9
3.1
2.9
2.9
2.81
2.9
2.9
2.9
3
2.9
2.9
2.9
2.81
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.9
2.81
2.9
2.9
2.9
2.9
3
2.9
2.9
3
2.9
3
2.9
3
2.9
3.1
3
3
3
3
3
3.29
3
3.1
2.9
3
3
3
3.1
3
3.1
3
3.1
3
3.1
3
3
3
3.49
3.59
3.1
3.1
3.1
3
3
2.81
2.81
2.71
2.9
3.1
3
3
3
3
3.1
3.1
3.1
3.1
3.1
3.1
3
3.49
3
3.1
3
3.1
3.1
3
3
3
3.29
3
3
3
3
3.1
3.1
3
3
3
3
3.1
3.1
3.1
3
3
3.1
3.2
2.81
2.71
2.61
2.71
2.81
2.71
2.9
2.71
2.81
2.71
2.71
2.81
2.81
2.71
2.81
2.71
2.81
2.81
2.81
2.81
2.71
2.71
2.71
2.71
2.61
2.81
2.71
2.81
2.9
2.71
2.71
2.71
2.81
2.71
2.71
2.81
2.71
2.81
2.71
3.1
2.81
2.71
2.71
2.71
2.81
2.61
2.71
2.71
2.41
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.81
2.71
2.71
2.71
2.71
2.71
2.71
2.81
2.71
2.81
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.9
2.81
2.71
2.71
3.2
2.71
2.71
2.71
2.81
2.71
2.41
2.9
2.71
2.71
2.71
2.61
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.81
2.61
2.71
2.71
2.71
2.71
2.71
2.71
2.61
2.71
2.71
2.9
2.71
2.61
2.71
2.71
3.2
2.9
2.61
2.71
2.71
2.71
2.71
2.81
2.71
2.61
2.71
2.71
2.71
2.71
2.81
2.71
2.71
2.71
2.9
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
2.71
