 Time; ECG; ECG_filtered; ...
 19:26:40 ;3,23;3,22;
 19:26:40 ;3,4;3,35;
 19:26:40 ;2,42;2,65;
 19:26:40 ;3,01;2,9;
 19:26:40 ;3,41;3,26;
 19:26:40 ;3,42;3,37;
 19:26:40 ;3,19;3,24;
 19:26:40 ;2,92;3,02;
 19:26:40 ;1,82;2,18;
 19:26:40 ;1,62;1,78;
 19:26:40 ;1,31;1,46;
 19:26:40 ;1,25;1,31;
 19:26:40 ;1,45;1,41;
 19:26:40 ;1,86;1,73;
 19:26:40 ;2,29;2,12;
 19:26:40 ;2,58;2,44;
 19:26:40 ;2,97;2,81;
 19:26:40 ;3,3;3,15;
 19:26:40 ;2,15;2,39;
 19:26:40 ;2,62;2,56;
 19:26:40 ;3,08;2,92;
 19:26:40 ;3,36;3,23;
 19:26:40 ;3,31;3,28;
 19:26:40 ;2,93;3,03;
 19:26:41 ;2,37;2,57;
 19:26:41 ;1,8;2,03;
 19:26:41 ;1,38;1,58;
 19:26:41 ;1,19;1,31;
 19:26:41 ;1,26;1,27;
 19:26:41 ;1,59;1,5;
 19:26:41 ;1,9;1,78;
 19:26:41 ;2,31;2,15;
 19:26:41 ;2,83;2,63;
 19:26:41 ;3,66;3,35;
 19:26:41 ;3,15;3,21;
 19:26:41 ;3,2;3,2;
 19:26:41 ;2,75;2,89;
 19:26:41 ;2,2;2,4;
 19:26:41 ;1,73;1,93;
 19:26:41 ;1,45;1,59;
 19:26:41 ;1,3;1,38;
 19:26:41 ;1,36;1,37;
 19:26:41 ;1,68;1,58;
 19:26:41 ;2,13;1,97;
 19:26:41 ;2,64;2,44;
 19:26:41 ;3,09;2,9;
 19:26:41 ;3,37;3,23;
 19:26:41 ;3,33;3,3;
 19:26:41 ;2,96;3,06;
 19:26:41 ;2,39;2,59;
 19:26:42 ;3,38;3,18;
 19:26:42 ;3,08;3,11;
 19:26:42 ;2,56;2,73;
 19:26:42 ;3,41;3,24;
 19:26:42 ;3,25;3,25;
 19:26:42 ;2,67;2,84;
 19:26:42 ;2,05;2,29;
 19:26:42 ;1,56;1,78;
 19:26:42 ;1,3;1,44;
 19:26:42 ;1,11;1,21;
 19:26:42 ;1,39;1,33;
 19:26:42 ;1,77;1,64;
 19:26:42 ;2,23;2,05;
 19:26:42 ;2,79;2,57;
 19:26:42 ;3,28;3,07;
 19:26:42 ;3,36;3,27;
 19:26:42 ;3,14;3,18;
 19:26:42 ;2,82;2,93;
 19:26:42 ;2,29;2,48;
 19:26:42 ;3,28;3,08;
 19:26:42 ;2,97;3;
 19:26:42 ;2,41;2,59;
 19:26:42 ;1,73;1,98;
 19:26:42 ;1,26;1,48;
 19:26:42 ;1,05;1,18;
 19:26:42 ;1,09;1,11;
 19:26:43 ;1,31;1,25;
 19:26:43 ;1,68;1,55;
 19:26:43 ;2,1;1,93;
 19:26:43 ;1,37;1,52;
 19:26:43 ;1,6;1,58;
 19:26:43 ;1,98;1,86;
 19:26:43 ;2,52;2,32;
 19:26:43 ;3,19;2,93;
 19:26:43 ;3,23;3,14;
 19:26:43 ;3,34;3,28;
 19:26:43 ;3;3,08;
 19:26:43 ;2,51;2,68;
 19:26:43 ;2,01;2,21;
 19:26:43 ;1,47;1,69;
 19:26:43 ;1,12;1,29;
 19:26:43 ;0,98;1,07;
 19:26:43 ;1,27;1,21;
 19:26:43 ;1,1;1,13;
 19:26:43 ;1,17;1,16;
 19:26:43 ;1,45;1,36;
 19:26:43 ;1,81;1,68;
 19:26:43 ;2,25;2,08;
 19:26:43 ;2,74;2,54;
 19:26:44 ;3,18;2,99;
 19:26:44 ;3,4;3,27;
 19:26:44 ;3,28;3,28;
 19:26:44 ;2,79;2,93;
 19:26:44 ;2,33;2,51;
 19:26:44 ;1,9;2,08;
 19:26:44 ;1,52;1,68;
 19:26:44 ;2,52;2,31;
 19:26:44 ;1,91;2,03;
 19:26:44 ;1,63;1,75;
 19:26:44 ;1,17;1,34;
 19:26:44 ;1,28;1,3;
 19:26:44 ;1,56;1,48;
 19:26:44 ;1,96;1,82;
 19:26:44 ;2,47;2,28;
 19:26:44 ;3,04;2,82;
 19:26:44 ;3,42;3,24;
 19:26:44 ;3,32;3,3;
 19:26:44 ;3,03;3,11;
 19:26:44 ;2,59;2,74;
 19:26:44 ;2,05;2,25;
 19:26:44 ;1,57;1,77;
 19:26:44 ;1,28;1,42;
 19:26:44 ;1,19;1,26;
 19:26:44 ;1,36;1,33;
 19:26:44 ;1,7;1,59;
 19:26:45 ;2,11;1,95;
 19:26:45 ;2,59;2,4;
 19:26:45 ;1,41;1,65;
 19:26:45 ;1,75;1,72;
 19:26:45 ;2,18;2,05;
 19:26:45 ;2,74;2,53;
 19:26:45 ;3,12;2,94;
 19:26:45 ;3,33;3,22;
 19:26:45 ;3,26;3,24;
 19:26:45 ;3,12;3,16;
 19:26:45 ;2,21;2,5;
 19:26:45 ;1,79;2;
 19:26:45 ;1,42;1,6;
 19:26:45 ;1,28;1,37;
 19:26:45 ;1,39;1,39;
 19:26:45 ;1,7;1,61;
 19:26:45 ;1,98;1,87;
 19:26:45 ;2,25;2,14;
 19:26:45 ;2,7;2,53;
 19:26:45 ;3,17;2,98;
 19:26:45 ;3,33;3,22;
 19:26:45 ;3,07;3,12;
 19:26:45 ;2,57;2,73;
 19:26:45 ;1,99;2,21;
 19:26:45 ;1,5;1,71;
 19:26:45 ;1,24;1,38;
 19:26:45 ;1,2;1,26;
 19:26:45 ;1,4;1,36;
 19:26:46 ;1,74;1,62;
 19:26:46 ;2,2;2,03;
 19:26:46 ;1,18;1,39;
 19:26:46 ;1,39;1,39;
 19:26:46 ;1,74;1,64;
 19:26:46 ;2,25;2,07;
 19:26:46 ;2,59;2,43;
 19:26:46 ;3,16;2,94;
 19:26:46 ;3,43;3,28;
 19:26:46 ;3,36;3,34;
 19:26:46 ;3,01;3,11;
 19:26:46 ;3,5;3,4;
 19:26:46 ;3,23;3,28;
 19:26:46 ;2,72;2,89;
 19:26:46 ;2,27;2,45;
 19:26:46 ;1,74;1,95;
 19:26:46 ;1,36;1,54;
 19:26:46 ;1,18;1,29;
 19:26:46 ;1,24;1,25;
 19:26:46 ;1,49;1,42;
 19:26:46 ;1,88;1,74;
 19:26:46 ;1,24;1,37;
 19:26:46 ;1,43;1,41;
 19:26:46 ;1,78;1,67;
 19:26:46 ;2,26;2,08;
 19:26:46 ;2,76;2,56;
 19:26:47 ;3,04;2,9;
 19:26:47 ;3,25;3,14;
 19:26:47 ;3,34;3,28;
 19:26:47 ;2,36;2,63;
 19:26:47 ;2,17;2,3;
 19:26:47 ;1,71;1,89;
 19:26:47 ;1,36;1,52;
 19:26:47 ;1,27;1,34;
 19:26:47 ;1,43;1,4;
 19:26:47 ;1,72;1,63;
 19:26:47 ;1,93;1,84;
 19:26:47 ;2,25;2,13;
 19:26:47 ;2,75;2,56;
 19:26:47 ;3,19;3;
 19:26:47 ;3,3;3,21;
 19:26:47 ;3,02;3,07;
 19:26:47 ;2,49;2,66;
 19:26:47 ;1,9;2,13;
 19:26:47 ;1,47;1,67;
 19:26:47 ;1,23;1,36;
 19:26:47 ;1,23;1,27;
 19:26:47 ;1,45;1,39;
 19:26:47 ;1,81;1,69;
 19:26:47 ;2,28;2,1;
 19:26:47 ;2,8;2,59;
 19:26:47 ;3,11;2,96;
 19:26:48 ;3,3;3,2;
 19:26:48 ;3,21;3,21;
 19:26:48 ;2,8;2,92;
 19:26:48 ;2,13;2,37;
 19:26:48 ;1,68;1,89;
 19:26:48 ;1,34;1,5;
 19:26:48 ;1,24;1,32;
 19:26:48 ;1,42;1,39;
 19:26:48 ;1,74;1,63;
 19:26:48 ;2;1,89;
 19:26:48 ;2,25;2,14;
 19:26:48 ;2,75;2,57;
 19:26:48 ;2,94;2,83;
 19:26:48 ;2,9;2,88;
 19:26:48 ;2,82;2,84;
 19:26:48 ;2,4;2,53;
